mode,paperId,title,publicationDate,year,publicationTypes,fieldsOfStudy,influentialCitationCount
PRECISE,d7d9107de19eba8228bc599f53f013245760caee,A Survey of Data Mining and Machine Learning Methods for Cyber Security Intrusion Detection,2017-04-13,2017,Review,Engineering,106
PRECISE,dab11c890b9924c8bfcb09bf8a9b1fbd1e2bbffc,Processing flows of information: From data stream to complex event processing,2012-06-01,2012,JournalArticle; Review,Computer Science,84
PRECISE,1dc23940f830a1aede366ac9654b5d499c14bcef,A Survey of Defense Mechanisms Against Distributed Denial of Service (DDoS) Flooding Attacks,2013-03-28,2013,JournalArticle; Review,Computer Science,77
PRECISE,4db2f23a5ad2259b90aa9b0545d27cd44337515a,Intrusion detection system: A comprehensive review,,,JournalArticle; Review,Computer Science,71
PRECISE,e467ff1ea3a0c535a0cef87f7e0daa414d524d9d,"Network Anomaly Detection: Methods, Systems and Tools",2014-01-21,2014,JournalArticle; Review,Computer Science,71
PRECISE,38e81867da601ae6877dd9ce2c1e1aa085852ecb,"Survey of intrusion detection systems: techniques, datasets and challenges",2019-07-01,2019,JournalArticle; Review,Computer Science,63
PRECISE,1c65649ffb61144f867aa1dc526ddaac19b3cecd,A survey of intrusion detection in Internet of Things,2017-04-15,2017,JournalArticle; Review,Computer Science,47
PRECISE,2eea41136efeea6e1426c631fa1ac0a221fe6978,Deep learning approach for Network Intrusion Detection in Software Defined Networking,2016-10-01,2016,JournalArticle; Conference; Review,Computer Science,47
PRECISE,8e2527113c652a25dad5a8af72a67f2d0bbb2706,A Survey of Intrusion Detection Systems in Wireless Sensor Networks,2014-01-21,2014,JournalArticle; Review,Computer Science,41
PRECISE,971766088dfaf63fb55e6f0190b14f28f2c98ad0,A Survey of Data Mining and Machine Learning Methods for Cyber Security Intrusion Detection,2016-01-22,2016,JournalArticle; Review,Computer Science,38
PRECISE,c9dbf8068d03b9ac6c5f02d40b75af182ca69699,A survey of intrusion detection techniques in Cloud,,,JournalArticle; Review,Computer Science,38
PRECISE,6bd85cfce9eeee059b1ee73851711e9ec847a31b,The Evolution of MAC Protocols in Wireless Sensor Networks: A Survey,2013-01-21,2013,JournalArticle; Review,Computer Science,37
PRECISE,c42c29c793f3b8518a313d03fa101b1201a8ad14,Network intrusion detection system: A systematic study of machine learning and deep learning approaches,2020-10-16,2020,JournalArticle; Review,Computer Science,37
PRECISE,67f3df0846e89da5dfc7c25980d9189c7df50292,CoSDEO 2016 Keynote: A decade later — Challenges: Device-free passive localization for wireless environments,2016-03-14,2016,JournalArticle; Conference; Review,Computer Science,34
PRECISE,cbe3fda28a29052fb82dcaca66be1edf549180d4,A Survey of Network-based Intrusion Detection Data Sets,2019-03-06,2019,JournalArticle; Review,Computer Science,33
PRECISE,22b56df45e2ff1aafca278253c24c6abafd0d0c7,A survey of intrusion detection techniques for cyber-physical systems,2014-03-01,2014,JournalArticle; Review,Computer Science,30
PRECISE,236dfdeb4511754cf71ba220ac569b11973502cd,Machine Learning and Deep Learning Methods for Intrusion Detection Systems: A Survey,2019-10-17,2019,Review,Engineering,30
PRECISE,cead00c7b3384653ce8013139a5d4543d96fcd07,"Fault Injection Attacks on Cryptographic Devices: Theory, Practice, and Countermeasures",2012-04-05,2012,JournalArticle; Review,Engineering; Computer Science,30
PRECISE,25cd96cc105927efa772f690426e955f080f72ff,A Scheme for Generating a Dataset for Anomalous Activity Detection in IoT Networks,2020-05-13,2020,JournalArticle; Conference; Review,Computer Science,27
PRECISE,f4ba147e57beee5e57cc4548feb130cbe16c9192,Network Intrusion Detection for IoT Security Based on Learning Techniques,2019-01-30,2019,JournalArticle; Review,Computer Science,27
PRECISE,39361b3507c9f8b0a97780568b645f80a208d78a,Machine Learning and Deep Learning Methods for Cybersecurity,2018-05-15,2018,JournalArticle; Review,Computer Science,26
PRECISE,6083bd8cdb810ce3d4f4bb9a004cac2a58b424eb,Demystifying IoT Security: An Exhaustive Survey on IoT Vulnerabilities and a First Empirical Look on Internet-Scale IoT Exploitations,2019-04-11,2019,JournalArticle; Review,Computer Science,26
PRECISE,cf003fbb1609c1457701cb7d698a5361be1d16b1,An intrusion detection and prevention system in cloud computing: A systematic review,,,JournalArticle; Review,Computer Science,24
PRECISE,2313d55f4e7739de529e966521018c9043c3fe45,Survey on Misbehavior Detection in Cooperative Intelligent Transportation Systems,2016-10-21,2016,JournalArticle; Review,Computer Science,23
PRECISE,4a8c332b09bb99333a8bce6a4640a20c1352aa63,A Survey on Security Threats and Defensive Techniques of Machine Learning: A Data Driven View,2018-02-13,2018,JournalArticle; Review,Computer Science,23
PRECISE,922b6fb164f5b9d774d16cb14c31f5cb68a02046,Game theory meets network security and privacy,2013-06-01,2013,JournalArticle; Review,Computer Science,23
PRECISE,de3ddfdb3c8c995cff057e010db6ac70e06ef5b5,Data stream clustering: A survey,2013-10-01,2013,JournalArticle; Review,Computer Science,23
PRECISE,246ba747471461dd30f8d3491d711c54ca515eb3,Routing Attacks and Mitigation Methods for RPL-Based Internet of Things,,,JournalArticle; Review,Computer Science,20
PRECISE,e11d5a4edec55f5d5dc8ea25621ecbf89e9bccb7,Taxonomy and Survey of Collaborative Intrusion Detection,2015-05-11,2015,JournalArticle; Review,Computer Science,20
PRECISE,36cf949aca4d0b93383ec2756717404b37ef3852,A Survey of MANET Intrusion Detection & Prevention Approaches for Network Layer Attacks,2013-03-28,2013,JournalArticle; Review,Computer Science,19
PRECISE,6edf7ed0e68bcf98ebcb600343c1e08f27c1c62f,Deep Learning for Encrypted Traffic Classification: An Overview,2018-10-18,2018,JournalArticle; Review,Computer Science,19
PRECISE,d3703f5faf73869110dea101109f60b4c1566c76,A Survey on Industrial Control System Testbeds and Datasets for Security Research,2021-02-10,2021,JournalArticle; Review,Computer Science,19
PRECISE,3ef1e8599ea27cafb9ccbc44619ce18729a86801,"Toward Proactive, Adaptive Defense: A Survey on Moving Target Defense",2019-09-12,2019,JournalArticle; Review,Computer Science,17
PRECISE,8b6e8d71d17a1fb5a7172c5d44ebba1cf06a7dd4,Shallow and Deep Networks Intrusion Detection System: A Taxonomy and Survey,2017-01-09,2017,JournalArticle; Review,Computer Science,17
PRECISE,a9b901fcd68a3715d5ef186a398476bc1e762b0e,Deep Reinforcement Learning for Cyber Security,2019-06-13,2019,JournalArticle; Review,Computer Science; Medicine; Mathematics,16
PRECISE,be71e47e3247d60398d5a8dfa7d343dc4a7c27d1,Security aspects of the in-vehicle network in the connected car,2011-06-05,2011,JournalArticle; Review,Computer Science; Engineering,16
PRECISE,13f5588e5a745e15e4176fd6c47c8f5befc19605,Intrusion detection and Big Heterogeneous Data: a Survey,2015-02-27,2015,JournalArticle; Review,Computer Science,15
PRECISE,260a8c49efed69f969327f4151237a38e184270b,"A Review of Intrusion Detection Systems Using Machine and Deep Learning in Internet of Things: Challenges, Solutions and Future Directions",2020-07-20,2020,Review,Computer Science,15
PRECISE,0fd2596df662912e293ff5efb21392581ecf0d65,On the Vital Areas of Intrusion Detection Systems in Wireless Sensor Networks,2013-01-09,2013,JournalArticle; Review,Computer Science,14
PRECISE,274a0c1b9bbf1f7e3f4ba3fc63b1061c2f709b85,Machine Learning-Based Network Vulnerability Analysis of Industrial Internet of Things,2019-04-18,2019,JournalArticle; Review,Computer Science,14
PRECISE,662b2e2497b55bc6c14ffe96f1fcf2430b1bc7f6,Adversarial Machine Learning for Network Intrusion Detection Systems: A Comprehensive Survey,,,JournalArticle; Review,Computer Science,14
PRECISE,8ec4b08a83faf5622fea30888a7fe14b7b0baf9b,Internet of Things: A survey on machine learning-based intrusion detection approaches,2019-03-14,2019,JournalArticle; Review,Computer Science,14
PRECISE,a0574a8958e9cfc5fc49bb40bc95cbfd0c190eb1,Intrusion Detection Systems in Wireless Sensor Networks: A Review,2013-05-01,2013,JournalArticle; Review,Computer Science,14
PRECISE,a30b4b52b1e7b0aff4a5085cdc43ace30ca66f5e,When Intrusion Detection Meets Blockchain Technology: A Review,2018-01-30,2018,JournalArticle; Review,Computer Science,14
PRECISE,ab200f31fe7c50f8b468cb3ed9274883140167d9,Feature selection for high-dimensional data,2016-02-15,2016,JournalArticle; Review,Computer Science,14
PRECISE,cffaf4cddfc4b2715b4c7900d4694d2f455530b6,6LoWPAN: a study on QoS security threats and countermeasures using intrusion detection system approach,2012-09-01,2012,JournalArticle; Review,Computer Science,14
PRECISE,f97424b7026d344ccab301da4da81ef292a89aee,A Survey of Intrusion Detection for In-Vehicle Networks,2020-03-01,2020,JournalArticle; Review,Computer Science,14
PRECISE,182df25859a1e1c7ad84e846e2255f797f2b5fbd,Cyberattacks and Countermeasures for In-Vehicle Networks,2020-04-22,2020,JournalArticle; Review,Computer Science,13
PRECISE,18ca24000345036ce084e33a74f86693809f98a3,Deep learning methods in network intrusion detection: A survey and an objective comparison,2020-11-01,2020,JournalArticle; Review,Computer Science,13
PRECISE,a7eea1d6dfbcee9a434e9ab6c9a7f67f1506d3db,Intrusion detection systems for IoT-based smart environments: a survey,2018-12-01,2018,JournalArticle; Review,Computer Science,13
PRECISE,f38a103da4bfc281a811b03099e1c39751722a8c,A comprehensive survey on network anomaly detection,2018-07-02,2018,JournalArticle; Review,Computer Science,13
PRECISE,f4179593b4b47d8be8cd97e0caced755e16fefbb,A Review of Anomaly based Intrusion Detection Systems,2011-08-31,2011,Review,Computer Science,13
PRECISE,7a43726fe88a102e187e39493801524e7f66ce5e,"Artificial intelligence, cyber-threats and Industry 4.0: challenges and opportunities",2021-02-04,2021,JournalArticle; Review,Computer Science,12
