2025-09-28T01:07:08.447763+00:00 | POST https://api.semanticscholar.org/graph/v1/paper/batch?fields=paperId,title,abstract,year,publicationDate,referenceCount,citationCount,externalIds,isOpenAccess,openAccessPdf,journal,authors.authorId -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:07:14.251334+00:00 | POST https://api.semanticscholar.org/graph/v1/paper/batch?fields=paperId,title,abstract,year,publicationDate,referenceCount,citationCount,externalIds,isOpenAccess,openAccessPdf,journal,authors.authorId -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:07:18.156969+00:00 | POST https://api.semanticscholar.org/graph/v1/paper/batch?fields=paperId,title,abstract,year,publicationDate,referenceCount,citationCount,externalIds,isOpenAccess,openAccessPdf,journal,authors.authorId -> 429 (attempt 2); infinite retry after 3.5s
2025-09-28T01:07:49.810387+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/18ca24000345036ce084e33a74f86693809f98a3/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:07:54.326667+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/f4179593b4b47d8be8cd97e0caced755e16fefbb/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:08:01.618934+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/5e2ef6abd77e9d3512e4f9ba694d7c6ad35c8db5/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:08:08.326147+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/68457bf1432b6667a8802d2d8c7ed9a145bede6a/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:08:11.997098+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/68457bf1432b6667a8802d2d8c7ed9a145bede6a/references?fields=citedPaper.year -> 429 (attempt 2); infinite retry after 3.5s
2025-09-28T01:08:18.532090+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/143a229923a60370ceb2ad55167cb12ce71d407a/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:08:22.732749+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/1d3273f5b7975ca41ee91008224717eb7b54966d/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:08:28.737003+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/85617e640bc534f3bcd6e153bdf7ad37b455df57/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:08:37.989445+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/c3043c6b56c3871eafe08a81ecb8b82f33b322ae/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
